"EMP_ID","EMP_FIRST_NAME","EMP_LAST_NAME","EMP_GENDER","EMP_DATE_BIRTH","EMP_START_DATE","EMP_BRANCH"
551,"Candida","Mcwhinnie","F",30-APR-81,06-DEC-09,3001
169,"Tiphany","Franceschelli","F",02-MAR-78,27-JUN-12,3005
151,"Shalne","Cadamy","F",11-DEC-72,18-SEP-11,3005
159,"Marcellus","Stoggles","M",04-JAN-72,16-JAN-12,3005
186,"Tabbie","Goney","M",30-NOV-70,01-SEP-12,30017
351,"Amalie","Aveling","F",30-MAR-74,01-OCT-11,30019
356,"Graham","Janota","M",18-OCT-83,16-DEC-10,30019
343,"Bevvy","Messier","F",27-MAY-82,02-MAR-11,30019
603,"Emili","Fee","F",31-MAY-84,07-JAN-10,30018
762,"Beniamino","Dronsfield","M",01-APR-71,11-JUN-10,3006
237,"Grove","Edgell","M",21-MAY-85,16-JAN-11,3002
233,"Addi","Bute","F",27-MAR-80,09-DEC-10,3002
377,"Bobbie","Patington","F",21-AUG-84,07-SEP-10,30013
365,"Constancia","Ellicott","F",30-MAY-74,18-FEB-09,30013
370,"Lyn","Garlic","F",07-OCT-71,24-DEC-09,30013
382,"Birch","Dundridge","M",18-NOV-74,24-SEP-12,30013
452,"Ronny","Fullard","F",28-OCT-71,02-DEC-10,30015
846,"Doyle","Mowlam","M",09-JUN-84,05-APR-11,3007
865,"Berky","Dalligan","M",01-MAY-74,25-AUG-12,3007
818,"Diahann","Cranke","F",17-OCT-76,26-MAR-11,3007
840,"Kakalina","Robins","F",04-MAY-72,06-NOV-10,3007
891,"Turner","Stearn","M",25-OCT-80,19-JAN-11,3007
421,"Corey","Roaf","F",21-AUG-83,22-MAR-12,3000
22,"Abigale","Meller","F",20-MAY-77,08-DEC-11,30023
91,"Padraic","Whitfeld","M",20-JUN-85,09-MAR-09,3008
655,"Amerigo","Rushby","M",07-AUG-75,04-JUN-11,30025
313,"Jabez","Dockwra","M",30-DEC-73,24-APR-12,30016
502,"Aleksandr","Yushmanov","M",23-MAR-74,13-OCT-10,30026
291,"Jimmie","Atkirk","M",27-JUN-79,03-DEC-09,3009
179,"Natal","Fulleylove","M",20-MAY-76,27-JUL-09,3005
172,"Sara-ann","Damrell","F",29-JUN-75,15-JUN-10,3005
786,"Alaster","Annand","M",09-FEB-78,09-JUL-11,30012
810,"Bernie","MacCartney","M",25-FEB-70,27-MAR-11,30012
202,"Carlen","Fibbitts","F",05-JUN-81,11-MAY-12,30017
626,"Tarrance","Lagden","M",01-MAR-85,04-JUN-11,30018
621,"Hortense","Edess","F",02-MAR-83,01-DEC-11,30018
220,"Sherlocke","Burgett","M",13-AUG-85,26-AUG-10,3002
125,"Anjela","Cudiff","F",08-NOV-77,15-MAR-10,30010
463,"Paten","Klessmann","M",12-MAY-71,25-JUN-11,30015
462,"Brittany","Attawell","F",05-SEP-73,30-SEP-09,30015
708,"Hamel","Hartzenberg","M",13-DEC-84,04-MAY-10,3004
243,"Rodolfo","Dominicacci","M",29-JUL-76,24-FEB-12,30020
248,"Paolo","Amber","M",26-FEB-71,07-JUL-10,30020
890,"Archy","Keuning","M",07-DEC-82,15-AUG-11,3007
75,"Cybill","Feldberger","F",07-SEP-83,20-SEP-12,30011
433,"Rickert","Laurencot","M",26-JAN-84,24-AUG-09,3000
8,"Jessie","Tanser","F",24-JAN-72,14-AUG-12,
21,"Heather","Mattioli","F",18-JUL-79,08-DEC-09,30023
402,"Goldi","Runnett","F",17-DEC-80,16-NOV-11,30014
648,"Nita","Mallatratt","F",07-SEP-71,28-JAN-12,30025
323,"Lesly","Arlet","F",18-MAR-73,11-DEC-10,30016
321,"Emmi","Seys","F",22-NOV-76,07-DEC-11,30016
315,"Prudi","Farryan","F",04-AUG-78,14-NOV-12,30016
290,"Fernanda","Berrecloth","F",18-JAN-78,02-JUN-10,3009
274,"Janelle","Crose","F",29-JUL-83,02-SEP-12,3009
789,"Hughie","Beddoes","M",28-JUN-83,13-MAR-09,30012
336,"Harcourt","Hamby","M",31-OCT-84,25-MAR-11,30019
352,"Libby","Clericoates","F",20-OCT-82,25-MAY-09,30019
615,"Jelene","Outlaw","F",23-DEC-78,06-SEP-10,30018
222,"Grantham","Klais","M",30-AUG-79,25-NOV-10,3002
533,"Annabell","Pratty","F",05-JAN-84,24-AUG-12,3003
128,"Irv","Frean","M",16-JUL-74,03-SEP-12,30010
475,"Bryon","Pragnell","M",25-FEB-79,14-MAR-12,30015
707,"Dar","Wilding","M",22-DEC-84,09-DEC-09,3004
715,"Reena","Van Brug","F",06-SEP-85,03-APR-09,3004
677,"Tiphani","Beacock","F",19-MAR-73,18-JUL-10,30022
885,"Jarad","Knath","M",04-JUL-80,22-APR-12,3007
854,"Vittoria","Bortolozzi","F",09-NOV-85,19-APR-10,3007
830,"Edy","Andresser","F",26-FEB-80,25-SEP-09,3007
828,"Krista","Inder","F",21-APR-78,01-AUG-12,3007
820,"Clementius","Fallowes","M",03-JAN-71,06-JUN-11,3007
825,"Larissa","Swaysland","F",03-JUL-71,18-MAR-11,3007
847,"Barrett","Capineer","M",27-NOV-73,08-JUN-09,3007
82,"Rosanna","Rennock","F",27-MAY-70,20-OCT-09,30011
427,"Rachelle","McCarle","F",06-AUG-79,02-FEB-12,3000
10,"Lorant","Mathelin","M",31-JUL-84,12-SEP-12,30023
590,"Chicky","Loghan","M",10-AUG-85,27-NOV-10,30024
401,"Puff","Copestake","M",11-AUG-82,18-MAR-09,30014
645,"Dur","Huckerby","M",03-FEB-73,03-DEC-12,30025
310,"Fanni","Babbs","F",01-JAN-80,30-DEC-10,30016
271,"Deidre","Brosoli","F",04-NOV-75,13-DEC-09,3009
277,"Nataline","Elcum","F",13-DEC-81,07-NOV-09,3009
282,"Antony","McRuvie","M",28-SEP-80,04-JUL-11,3009
176,"Pat","Bower","M",05-AUG-74,26-NOV-09,3005
781,"Ariel","Dell'Abbate","M",04-JAN-76,08-MAY-09,30012
354,"Aymer","Zambon","M",02-NOV-81,22-FEB-11,30019
213,"Cathleen","Bartholomew","F",09-FEB-74,09-NOV-11,3002
226,"Friedrich","Kensy","M",09-NOV-81,21-MAY-12,3002
378,"Royce","Le feaver","M",23-FEB-81,06-JAN-11,30013
536,"Brocky","Westpfel","M",21-SEP-70,13-AUG-10,3003
695,"Ede","Kaine","F",06-FEB-76,22-FEB-09,3004
877,"Odelinda","Domb","F",14-MAR-74,17-APR-11,3007
863,"Colette","Scrowton","F",15-MAY-78,03-MAY-12,3007
859,"Marabel","MacGinlay","F",19-FEB-78,19-JUL-09,3007
836,"Suzann","Ife","F",17-FEB-84,22-OCT-09,3007
841,"Bran","Birkett","M",05-OCT-79,15-JAN-12,3007
79,"Pincus","Fayne","M",09-JUL-77,10-DEC-10,30011
71,"Owen","Durrand","M",11-MAR-82,10-JUL-11,30011
76,"Dorothea","Trethewey","F",03-JUL-71,30-JUL-12,30011
112,"Micki","Sukbhans","F",17-APR-77,16-SEP-11,3008
93,"Waldo","Mouget","M",22-MAR-74,12-JAN-12,3008
572,"Mortie","Stebbings","M",12-JUN-85,01-JUN-11,30024
52,"Penny","Keaysell","F",02-AUG-83,12-MAY-11,30027
328,"Francklyn","Chafer","M",06-JUL-71,27-SEP-09,30016
309,"Sigmund","Fesby","M",27-AUG-80,19-DEC-10,30016
298,"Packston","Garrad","M",26-JUN-77,08-MAR-12,3009
555,"Berke","Boothby","M",04-MAR-73,18-DEC-12,3001
541,"Stanford","Sircomb","M",08-SEP-83,26-FEB-10,3001
567,"Orella","Streader","F",11-FEB-85,16-DEC-10,3001
163,"Gayelord","Lovart","M",03-MAR-83,29-JUL-12,3005
209,"Ritchie","Emblen","M",09-OCT-78,20-JUN-12,30017
350,"Paolo","Giffen","M",24-FEB-79,27-DEC-10,30019
358,"Cody","Mitchelmore","M",29-OCT-77,17-MAY-09,30019
765,"Marci","Boone","F",08-FEB-82,05-DEC-09,3006
529,"Jan","Corgenvin","M",16-MAY-80,05-APR-10,3003
457,"Cornall","Lockney","M",21-MAY-81,18-APR-11,30015
476,"Carlee","Garken","F",16-MAR-71,03-APR-11,30015
703,"Lynn","Cackett","F",08-DEC-73,13-FEB-11,3004
698,"Camella","Dyos","F",11-DEC-75,10-DEC-09,3004
668,"Dacie","Halligan","F",03-MAY-74,07-JUN-10,30022
832,"Will","Roget","M",28-JUN-76,29-NOV-12,3007
448,"Emlyn","Kitcherside","M",08-SEP-76,18-NOV-09,3000
26,"Keefe","Simm","M",19-MAR-81,20-JUL-12,30023
29,"Renaud","Orrill","M",18-FEB-77,11-APR-11,30023
111,"Berna","Lennarde","F",18-AUG-82,25-MAR-10,3008
108,"Howard","Macken","M",02-AUG-84,11-NOV-11,3008
582,"Raychel","Drivers","F",24-SEP-83,21-DEC-12,30024
41,"Mirilla","Stennett","F",17-NOV-73,24-JUL-10,30027
639,"Curtice","Garrettson","M",15-MAR-71,03-SEP-10,30025
324,"Marsiella","Peachey","F",08-JUN-73,28-JAN-09,30016
312,"Elsinore","Cranefield","F",20-APR-70,09-NOV-11,30016
490,"Jolene","Trewhella","F",09-NOV-80,04-NOV-10,30026
492,"Elie","Kensy","F",29-JAN-82,26-MAY-11,30026
293,"Solomon","Lamb-shine","M",12-JAN-82,08-NOV-11,3009
295,"Brynne","McNelis","F",15-NOV-84,31-OCT-12,3009
548,"Kayle","Scholig","F",16-SEP-70,12-DEC-10,3001
794,"Stormy","Kybert","F",14-JUL-76,12-APR-12,30012
205,"Kathrine","Danzelman","F",10-JUN-83,07-AUG-11,30017
207,"Gordie","Horlock","M",22-OCT-78,10-AUG-11,30017
340,"Regan","Crenage","M",05-FEB-70,13-MAY-09,30019
349,"Tiffy","Danneil","F",,25-SEP-12,30019
614,"Marnia","Huegett","F",20-OCT-75,09-JAN-10,30018
516,"Sheela","Greenley","F",08-DEC-73,23-DEC-12,3003
137,"Verla","Mellenby","F",20-FEB-85,23-APR-12,30010
136,"Lauraine","Millichap","F",22-AUG-77,11-OCT-10,30010
670,"Huberto","Lodin","M",12-NOV-72,01-AUG-10,30022
816,"Percy","Pointing","M",30-JUL-70,02-MAR-11,3007
895,"Tuckie","Cunnow","M",22-JUL-81,02-MAY-11,3007
880,"Kelsey","Goodyer","M",26-MAR-76,12-JUL-12,3007
879,"Tracee","Joe","F",28-MAY-82,09-NOV-09,3007
853,"Lutero","Semrad","M",30-MAR-77,16-FEB-11,3007
11,"Leanna","Lamar","F",14-JAN-75,10-MAY-11,30023
37,"Darda","Kennard","F",17-JUN-84,16-DEC-12,30027
499,"Carin","Perone","F",28-DEC-76,19-AUG-09,30026
273,"Peirce","Antoniazzi","M",16-APR-81,08-JUN-12,3009
294,"Evyn","Masson","M",03-AUG-81,29-MAY-11,3009
564,"Richmond","Lambarton","M",04-MAR-77,10-OCT-11,3001
560,"Brendan","Dawidowitsch","M",05-JAN-76,05-SEP-10,3001
559,"Bertram","Ferns","M",28-DEC-74,17-AUG-12,3001
174,"Tiff","Tunnacliffe","F",06-FEB-78,29-JAN-11,3005
792,"Breena","Corain","F",13-DEC-83,18-FEB-11,30012
355,"Eadith","Ridding","F",08-NOV-70,19-DEC-10,30019
777,"Talia","Mingame","F",11-JUN-75,09-FEB-12,3006
751,"Rose","Duckett","F",30-JAN-70,05-MAR-11,3006
771,"Garth","Flear","M",04-AUG-79,22-MAY-12,3006
372,"Lucho","Kropp","M",11-NOV-77,02-NOV-09,30013
134,"Kiley","Stedmond","F",16-OCT-77,30-MAR-10,30010
713,"Nero","Kerner","M",16-SEP-70,29-JUN-12,3004
710,"Neill","Tow","M",10-JUN-74,04-AUG-10,3004
718,"Aline","Axell","F",09-MAR-71,08-APR-12,3004
683,"Fitzgerald","Stockton","M",29-JUL-77,21-DEC-11,30022
258,"Clarice","Costigan","F",07-DEC-83,13-AUG-10,30020
817,"Henderson","Barefoot","M",21-DEC-73,08-AUG-10,3007
856,"Alessandra","MacKnight","F",13-FEB-81,17-NOV-10,3007
862,"Mohandis","Kupka","M",10-SEP-85,08-FEB-09,3007
900,"Kevin","Cubbit","M",28-MAY-80,15-FEB-09,3007
426,"Shamus","Crissil","M",05-FEB-74,11-MAR-12,3000
7,"Merline","Bukac","F",16-OCT-76,15-DEC-11,30023
104,"Maxy","McNeice","M",15-SEP-74,16-JUL-09,3008
574,"Parsifal","Cosans","M",14-DEC-78,27-DEC-11,30024
599,"Aurea","Mehmet","F",16-OCT-78,05-AUG-10,30024
575,"Giff","Woodnutt","M",25-MAR-78,30-JUN-09,30024
15,"Antone","Philliskirk","M",10-APR-82,05-SEP-10,30023
415,"Gypsy","Gierhard","F",09-MAY-75,26-FEB-09,30014
411,"Ginelle","Dybbe","F",28-MAY-81,24-SEP-11,30014
161,"Etienne","Burberry","M",03-NOV-76,29-JAN-09,3005
154,"Quintana","Skryne","F",24-JAN-74,14-NOV-10,3005
807,"Gianina","Sancho","F",08-MAY-76,12-SEP-09,30012
160,"Reyna","Brabban","F",21-MAY-82,08-AUG-11,3005
761,"Stanislaus","Fleckness","M",22-MAY-81,18-DEC-10,3006
228,"Risa","Awde","F",22-MAR-71,10-APR-10,3002
518,"Alysa","Olczyk","F",20-FEB-74,14-JAN-11,3003
696,"Bernardina","Danovich","F",09-MAY-76,08-SEP-09,3004
702,"Ketti","Irving","F",26-MAR-79,09-SEP-09,3004
697,"Brigid","Tregoning","F",28-NOV-82,05-OCT-09,3004
246,"Meredith","Pengilly","M",17-AUG-83,24-SEP-12,30020
858,"Fitz","La Batie","M",14-AUG-83,07-NOV-10,3007
812,"Briggs","Steade","M",12-APR-70,19-JUN-10,3007
435,"Vanny","Ivermee","F",02-JAN-79,06-AUG-11,3000
1,"","Gayther","M",20-AUG-80,10-DEC-12,30023
94,"Ezri","Dudbridge","M",23-JUL-78,29-FEB-12,3008
118,"Sully","Semeradova","M",25-JUL-78,04-JUN-10,3008
102,"Forster","Anglish","M",08-AUG-71,30-APR-11,3008
98,"Hilliard","Sandham","M",28-JUL-74,04-AUG-11,3008
103,"Dino","Esson","M",02-MAR-77,11-JUL-09,3008
101,"Lucian","Clever","M",16-MAR-85,24-JUN-10,3008
578,"Imelda","Habden","F",23-JAN-79,01-JUL-09,30024
585,"Garvin","Batchan","M",30-JUL-75,26-SEP-12,30024
571,"Willette","Dunckley","F",06-AUG-83,01-JAN-10,30024
56,"De","Shurmore","F",,06-APR-11,30027
34,"Arman","Culwen","M",24-APR-83,18-NOV-10,30027
60,"Rori","Kinsett","F",22-APR-84,15-JAN-10,30027
420,"Freda","Jerrems","F",23-JUN-74,22-FEB-10,30014
400,"Quillan","Beddoe","M",10-MAY-78,26-MAR-12,30014
660,"Sampson","Balcon","M",31-OCT-76,19-SEP-10,30025
326,"Aldwin","Leitche","M",09-JUN-72,07-APR-10,30016
506,"Joana","Kincade","F",13-AUG-79,03-OCT-12,30026
300,"Mariel","Bramall","F",19-DEC-82,24-AUG-11,3009
543,"Clay","Mazillius","M",12-JUN-82,07-NOV-10,3001
544,"Jock","Mattedi","M",18-MAY-78,18-DEC-10,3001
563,"Stormy","Culpan","F",18-DEC-82,05-DEC-12,3001
170,"Susie","Maceur","F",25-APR-78,02-JUL-10,3005
167,"Corby","Wride","M",26-SEP-80,16-MAY-12,3005
184,"Georgina","Bigadike","F",22-SEP-77,04-MAR-09,30017
193,"Ingunna","Clemens","F",21-AUG-71,10-NOV-09,30017
339,"Deane","Hatry","M",08-MAR-83,16-APR-09,30019
607,"Patrizio","Harse","M",30-MAY-71,11-SEP-09,30018
605,"Emmett","Whitbread","M",02-JUL-82,06-OCT-11,30018
629,"Homer","Kollatsch","M",02-OCT-72,22-NOV-10,30018
232,"Dennis","Dillon","M",17-JUL-78,27-JUL-11,3002
131,"Linnie","Klimashevich","F",10-SEP-71,05-JUL-12,30010
455,"Johnnie","Baldery","M",30-MAR-80,26-SEP-12,30015
720,"Otho","Brecknock","M",06-APR-72,01-APR-11,3004
255,"Lindsey","Leedal","M",26-MAY-81,26-APR-12,30020
265,"Andros","Korneev","M",16-JUN-78,16-AUG-11,30020
855,"Gerta","Phipps","F",10-NOV-76,06-APR-09,3007
827,"Giorgi","Battyll","M",27-SEP-84,18-MAR-09,3007
882,"Kati","Rusling","F",27-MAR-80,29-AUG-11,3007
869,"Nilson","Hammelberg","M",23-MAY-78,28-DEC-11,3007
73,"Sarine","Thieme","F",23-DEC-74,11-NOV-10,30011
66,"Thoma","Fenech","M",05-APR-82,11-DEC-12,30011
425,"Sanson","Snellman","M",30-JAN-80,15-JUL-11,3000
581,"Abeu","Game","M",14-NOV-83,25-SEP-09,30024
45,"Renato","Iddens","M",21-APR-77,13-OCT-10,30027
53,"Cletis","Forte","M",28-APR-78,09-AUG-11,30027
685,"Hope","Olifaunt","F",02-AUG-83,30-NOV-09,30022
632,"Everett","Kleeman","M",19-OCT-82,16-FEB-12,30025
656,"Othilia","Patria","F",18-OCT-80,06-FEB-09,30025
643,"Bevin","Trayford","M",27-OCT-84,16-JUN-10,30025
638,"Sanson","Kliemann","M",10-APR-72,02-MAY-12,30025
203,"Calhoun","Ivanov","M",15-SEP-79,09-APR-09,30017
618,"Shae","Dabnor","M",13-DEC-81,24-AUG-10,30018
766,"Sibilla","Whitmore","F",29-AUG-76,20-MAY-11,3006
362,"Ebenezer","Lusk","M",08-OCT-75,29-MAY-11,30013
514,"Samson","Ivan","M",06-APR-83,16-MAR-09,3003
519,"Wittie","Peevor","M",15-AUG-84,08-JUL-11,3003
540,"Elora","Vannuccini","F",10-MAY-75,15-JAN-11,3003
467,"Mendie","Dowd","M",06-JUN-72,06-AUG-11,30015
690,"Sammy","Mattingson","M",20-AUG-73,26-MAY-12,30022
829,"Sissie","Wallentin","F",29-APR-82,27-OCT-09,3007
842,"Daisey","Kondrachenko","F",07-MAR-84,24-JUL-09,3007
68,"Arni","McKern","M",25-OCT-78,02-FEB-09,30011
86,"Emelyne","Curless","F",27-FEB-78,11-OCT-11,30011
423,"Dwayne","Manshaw","M",15-JUN-83,11-AUG-10,3000
431,"Gerik","Mancell","M",14-JUN-83,18-JAN-09,3000
449,"Dena","Giannini","F",25-MAR-83,15-MAR-10,3000
9,"Maisey","Eyrl","F",06-OCT-82,11-APR-10,30023
18,"Cara","Gourlay","F",21-SEP-84,12-JAN-12,30023
99,"Ancell","Pounsett","M",16-JUN-80,17-JUL-10,3008
600,"Liana","Morgen","F",26-JAN-73,08-OCT-12,30024
55,"Bertie","Josham","M",16-MAY-73,02-FEB-11,30027
49,"Karmen","Morewood","F",01-MAY-71,13-JUN-11,30027
397,"Kristian","Garthside","M",20-MAY-83,02-MAY-12,30014
635,"Flint","Maultby","M",26-APR-85,07-DEC-12,30025
504,"Cynthia","Dougharty","F",21-APR-79,28-AUG-12,30026
505,"Niven","Dedenham","M",17-DEC-83,13-JAN-12,30026
280,"Doralynn","Drinkhill","F",23-OCT-77,26-MAY-11,3009
554,"Alric","Robardey","M",22-SEP-71,20-JUN-10,3001
796,"Ogdon","Sillars","M",02-AUG-73,17-MAR-12,30012
790,"Jamil","Rimour","M",24-JAN-74,07-JAN-11,30012
803,"Andris","Bahls","M",24-SEP-74,19-JUL-11,30012
348,"Sutton","Mendonca","M",11-APR-81,23-APR-09,30019
225,"Kaela","Davidescu","F",22-MAY-72,07-MAR-11,3002
531,"Marget","Waryk","F",17-SEP-71,18-DEC-11,3003
123,"Phyllys","Lickess","F",06-SEP-78,11-NOV-11,30010
459,"Meagan","Ellinor","F",10-MAY-80,18-DEC-09,30015
474,"Stinky","Capoun","M",15-DEC-73,26-JUL-12,30015
688,"Karoly","McNeilley","F",12-AUG-74,22-MAY-11,30022
254,"Karie","Stanion","F",15-JUN-77,22-JUN-10,30020
815,"Verile","Goldby","F",27-FEB-84,07-FEB-10,3007
439,"Karlan","Morde","M",25-JUL-84,01-JUN-12,3000
24,"Elnar","Gronav","M",25-JUL-71,19-JAN-11,30023
106,"Ileane","Faughnan","F",20-OCT-73,08-JAN-12,3008
113,"Maurizia","Taborre","F",26-NOV-85,18-JAN-12,3008
58,"Elsie","Masurel","F",10-JUN-79,07-APR-10,30027
672,"Shirl","Scothron","F",06-FEB-77,27-MAR-09,30022
407,"Ericka","Letcher","F",22-NOV-82,12-JUN-11,30014
508,"Had","Ronchka","M",12-MAR-79,19-AUG-11,30026
296,"Haley","Hughman","F",06-APR-83,03-JUL-12,3009
546,"Lenka","FitzGeorge","F",18-JUN-71,03-JUL-10,3001
164,"Karlan","Shoebridge","M",20-JAN-77,24-DEC-10,3005
162,"Elisabetta","Janssens","F",16-SEP-82,19-APR-11,3005
153,"Jorry","Molineaux","F",07-JUN-78,24-SEP-10,3005
333,"Celestina","Frier","F",05-OCT-77,20-JUN-09,30019
331,"Gaylor","Nobles","M",22-JAN-85,28-MAR-12,30019
616,"Guntar","Bushel","M",29-MAR-83,30-SEP-09,30018
361,"Rutter","Ethelston","M",31-MAR-75,23-JUL-09,30013
138,"Heather","Jesson","F",11-DEC-76,20-JAN-10,30010
143,"Aleta","Fishley","F",06-DEC-70,20-SEP-10,30010
464,"Arvin","Tabert","M",26-APR-78,13-FEB-09,30015
693,"Brewer","Pesselt","M",23-OCT-77,15-JAN-12,3004
712,"Egan","Roels","M",25-DEC-77,20-AUG-12,3004
259,"Hester","Van Weedenburg","F",21-JUN-75,19-AUG-11,30020
822,"Randolph","Chese","M",18-APR-85,05-JAN-10,3007
873,"Fanchon","Losano","F",31-MAR-85,18-APR-11,3007
897,"Ingamar","Malacrida","M",04-OCT-71,09-FEB-11,3007
870,"Kilian","Beccera","M",13-JAN-80,20-DEC-12,3007
883,"Geordie","Lonie","M",07-AUG-83,28-DEC-09,3007
866,"Aila","Odney","F",06-FEB-82,10-DEC-09,3007
88,"Kathlin","Enterle","F",20-APR-80,03-JUL-09,30011
2,"Elbertine","Pieche","F",01-MAY-80,22-FEB-12,30023
92,"Gifford","Zimmerman","M",10-JUN-70,14-AUG-12,3008
597,"Cybill","Levesque","F",19-SEP-82,25-JUL-09,30024
395,"Roma","Bothwell","M",27-SEP-83,28-JUN-10,30014
318,"Nahum","McKernon","M",20-NOV-85,02-SEP-09,30016
483,"Kerwin","Spillman","M",18-OCT-82,26-OCT-10,30026
297,"Lelia","Slateford","F",19-MAR-71,18-JUL-12,3009
177,"Cordelia","Barabisch","F",30-APR-82,19-JUL-12,3005
802,"Danny","Uttley","F",20-NOV-80,25-NOV-11,30012
768,"Brinn","Cooke","F",25-MAY-73,19-JUL-12,3006
753,"Ninnette","Burfitt","F",08-NOV-70,25-APR-09,3006
221,"Harmonia","Frodsam","F",10-MAR-75,31-JAN-12,3002
229,"Ciro","Folbigg","M",02-JUL-81,12-OCT-12,3002
